City,Vax Points
Squirrel Hill South,46909.5
Shadyside,41176.0
Brookline,32014.5
Squirrel Hill North,27880.5
Bloomfield,23722.5
Carrick,20905.5
Greenfield,20130.5
Highland Park,19576.5
Mount Washington,19448.0
Southside Flats,18198.5
Point Breeze,17654.0
Beechview,17508.0
Brighton Heights,16574.0
North Oakland,16393.5
East Liberty,14361.0
Central Lawrenceville,13391.5
Central Business District,12703.5
Stanton Heights,12684.0
Banksville,10766.5
Sheraden,9573.5
Southside Slopes,9303.5
Morningside,9216.5
Perry North,8618.5
Central Oakland,8383.0
Crafton Heights,8347.0
Westwood,8022.5
Garfield,7992.0
Overbrook,7836.5
Hazelwood,7772.0
Central Northside,7734.5
Perry South,7472.0
Lower Lawrenceville,7366.5
Lincoln-Lemington-Belmar,7327.5
Lincoln Place,7233.0
Marshall-Shadeland,7223.5
South Oakland,7051.5
Upper Lawrenceville,6713.5
Troy Hill,6669.0
Duquesne Heights,6322.5
Knoxville,5760.5
Crawford-Roberts,5751.5
Strip District,5342.0
Point Breeze North,5330.0
Friendship,5264.0
Spring Hill-City View,4904.5
Manchester,4793.5
East Allegheny,4576.0
Elliott,4521.0
East Hills,4401.0
Allentown,4234.0
Upper Hill,4191.0
Homewood North,4092.5
Homewood South,3969.5
Swisshelm Park,3853.5
Terrace Village,3703.0
Middle Hill,3450.5
Allegheny Center,3346.5
Windgap,3228.0
Arlington,3210.5
Regent Square,3205.5
Beltzhoover,3162.0
West Oakland,3125.0
Bluff,3051.0
Larimer,3021.5
Polish Hill,2980.0
East Pittsburgh,2694.0
Summer Hill,2450.0
Fairywood,2347.0
Oakwood,2343.0
New Homestead,2206.0
Fineview,2083.5
Bedford Dwellings,1899.0
Bon Air,1792.5
Glen Hazel,1645.0
Northview Heights,1600.0
Spring Garden,1511.5
Allegheny West,1389.0
California-Kirkbride,1221.0
Ridgemont,1173.0
Homewood West,1150.0
East Carnegie,1039.5
Chartiers City,975.5
North Shore,835.5
Mt. Oliver,831.0
Hays,707.5
South Shore,605.0
West End,448.0
Esplen,435.0
St. Clair,404.5
Arlington Heights,280.5
Undefined,141.5
Chateau,107.5
