month,neighborhood_municipality,total_partially_vaccinated,total_fully_vaccinated,total_fully_vaccinated_w_booster
2020-12-01,East Liberty (Pittsburgh),174,1,0
2020-12-01,Greenfield (Pittsburgh),214,1,0
2020-12-01,Morningside (Pittsburgh),105,1,0
2020-12-01,Richland,212,1,0
2020-12-01,South Oakland (Pittsburgh),57,1,0
2020-12-01,Upper Saint Clair,458,1,0
2021-01-01,Baldwin Township,147,64,0
2021-01-01,Beechview (Pittsburgh),388,147,0
2021-01-01,Bell Acres,85,51,0
2021-01-01,Bellevue,480,160,0
2021-01-01,Bethel Park,3244,812,0
2021-01-01,Blawnox,90,35,0
2021-01-01,Brackenridge,160,107,0
2021-01-01,Central Northside (Pittsburgh),225,97,0
2021-01-01,Central Oakland (Pittsburgh),313,110,0
2021-01-01,Chalfant,42,11,0
2021-01-01,East Liberty (Pittsburgh),428,214,0
2021-01-01,Esplen (Pittsburgh),8,2,0
2021-01-01,Fawn,126,42,0
2021-01-01,Forest Hills,688,186,0
2021-01-01,Garfield (Pittsburgh),175,92,0
2021-01-01,Glassport,182,88,0
2021-01-01,Glen Osborne,55,12,0
2021-01-01,Green Tree,421,157,0
2021-01-01,Greenfield (Pittsburgh),575,267,0
2021-01-01,Hays (Pittsburgh),22,8,0
2021-01-01,Homestead,98,29,0
2021-01-01,Homewood North (Pittsburgh),55,16,0
2021-01-01,Homewood West (Pittsburgh),16,6,0
2021-01-01,Knoxville (Pittsburgh),95,26,0
2021-01-01,Liberty,171,72,0
2021-01-01,Lincoln-Lemington-Belmar (Pittsburgh),129,147,0
2021-01-01,Marshall-Shadeland (Pittsburgh),127,50,0
2021-01-01,Morningside (Pittsburgh),277,141,0
2021-01-01,Mt. Oliver (Pittsburgh),14,5,0
2021-01-01,New Homestead (Pittsburgh),98,34,0
2021-01-01,North Braddock,127,38,0
2021-01-01,North Oakland (Pittsburgh),562,125,0
2021-01-01,Penn Hills,2486,718,0
2021-01-01,Pitcairn,145,41,0
2021-01-01,Plum,2098,751,0
2021-01-01,Point Breeze (Pittsburgh),703,261,0
2021-01-01,Robinson,1001,283,0
2021-01-01,Sewickley Heights,92,25,0
2021-01-01,Shadyside (Pittsburgh),1590,853,0
2021-01-01,Sharpsburg,153,65,0
2021-01-01,South Fayette,963,329,0
2021-01-01,South Oakland (Pittsburgh),209,67,0
2021-01-01,South Park,1041,328,0
2021-01-01,Southside Slopes (Pittsburgh),247,131,0
2021-01-01,St. Clair (Pittsburgh),8,5,0
2021-01-01,Verona,144,34,0
2021-01-01,Whitehall,1523,427,0
2021-01-01,Wilkinsburg,855,272,0
2021-02-01,Aleppo,250,130,0
2021-02-01,Banksville (Pittsburgh),361,310,0
2021-02-01,Bell Acres,106,74,0
2021-02-01,Bellevue,439,413,0
2021-02-01,Bethel Park,3659,2952,0
2021-02-01,Blawnox,136,70,0
2021-02-01,Brackenridge,199,142,0
2021-02-01,Braddock,96,36,0
2021-02-01,Bradford Woods,155,93,0
2021-02-01,Brighton Heights (Pittsburgh),621,447,0
2021-02-01,Central Business District (Pittsburgh),284,270,0
2021-02-01,Central Lawrenceville (Pittsburgh),293,365,0
2021-02-01,Churchill,467,309,0
2021-02-01,Crescent,212,116,0
2021-02-01,Duquesne Heights (Pittsburgh),256,146,0
2021-02-01,East Allegheny (Pittsburgh),139,78,0
2021-02-01,East Deer,79,87,0
2021-02-01,Fairywood (Pittsburgh),93,108,0
2021-02-01,Fineview (Pittsburgh),63,42,0
2021-02-01,Forward,126,77,0
2021-02-01,Glen Osborne,71,49,0
2021-02-01,Green Tree,564,401,0
2021-02-01,Hampton,1844,1293,0
2021-02-01,Harmar,313,280,0
2021-02-01,Haysville,3,5,0
2021-02-01,Homestead,260,88,0
2021-02-01,Homewood North (Pittsburgh),155,52,0
2021-02-01,Marshall,549,400,0
2021-02-01,Marshall-Shadeland (Pittsburgh),182,112,0
2021-02-01,New Homestead (Pittsburgh),72,88,0
2021-02-01,Northview Heights (Pittsburgh),31,11,0
2021-02-01,O'Hara,996,964,0
2021-02-01,Oakdale,155,48,0
2021-02-01,Penn Hills,3571,2286,0
2021-02-01,Pitcairn,141,121,0
2021-02-01,Pleasant Hills,1042,729,0
2021-02-01,Ridgemont (Pittsburgh),35,29,0
2021-02-01,Ross,3464,2624,0
2021-02-01,Rosslyn Farms,46,47,0
2021-02-01,Scott,2086,1381,0
2021-02-01,Sharpsburg,266,178,0
2021-02-01,South Park,1372,945,0
2021-02-01,Squirrel Hill North (Pittsburgh),759,970,0
2021-02-01,Squirrel Hill South (Pittsburgh),1405,1785,0
2021-02-01,St. Clair (Pittsburgh),12,5,0
2021-02-01,Stanton Heights (Pittsburgh),510,309,0
2021-02-01,Strip District (Pittsburgh),123,132,0
2021-02-01,Thornburg,53,40,0
2021-02-01,West Deer,1321,867,0
2021-02-01,West End (Pittsburgh),13,5,0
2021-02-01,Whitehall,1678,1327,0
2021-03-01,Allegheny West (Pittsburgh),115,61,0
2021-03-01,Arlington Heights (Pittsburgh),15,3,0
2021-03-01,Aspinwall,651,373,0
2021-03-01,Avalon,912,569,0
2021-03-01,Baldwin Borough,3798,2820,0
2021-03-01,Bluff (Pittsburgh),211,97,0
2021-03-01,Bon Air (Pittsburgh),130,94,0
2021-03-01,California-Kirkbride (Pittsburgh),75,28,0
2021-03-01,Chartiers City (Pittsburgh),65,71,0
2021-03-01,Cheswick,348,264,0
2021-03-01,Clairton,668,530,0
2021-03-01,Crafton,1066,814,0
2021-03-01,Crafton Heights (Pittsburgh),511,364,0
2021-03-01,Dormont,1768,1022,0
2021-03-01,East Carnegie (Pittsburgh),55,52,0
2021-03-01,East Pittsburgh,171,99,0
2021-03-01,Elizabeth Borough,187,131,0
2021-03-01,Emsworth,409,283,0
2021-03-01,Franklin Park,3056,2195,0
2021-03-01,Harrison,1444,1195,0
2021-03-01,Hazelwood (Pittsburgh),547,311,0
2021-03-01,Highland Park (Pittsburgh),1482,825,0
2021-03-01,Homewood South (Pittsburgh),261,180,0
2021-03-01,Indiana,1345,881,0
2021-03-01,Larimer (Pittsburgh),171,105,0
2021-03-01,Leet,228,169,0
2021-03-01,Lincoln Place (Pittsburgh),514,345,0
2021-03-01,Millvale,583,275,0
2021-03-01,Moon,4704,3489,0
2021-03-01,Mount Oliver Borough,418,186,0
2021-03-01,Mount Washington (Pittsburgh),1593,966,0
2021-03-01,North Fayette,2203,1438,0
2021-03-01,Oakwood (Pittsburgh),218,101,0
2021-03-01,Overbrook (Pittsburgh),583,356,0
2021-03-01,Perry South (Pittsburgh),542,341,0
2021-03-01,Point Breeze North (Pittsburgh),420,239,0
2021-03-01,Polish Hill (Pittsburgh),285,127,0
2021-03-01,Port Vue,478,333,0
2021-03-01,Rankin,122,116,0
2021-03-01,Reserve,641,510,0
2021-03-01,Sewickley,858,585,0
2021-03-01,Shaler,5818,4412,0
2021-03-01,Sheraden (Pittsburgh),681,391,0
2021-03-01,South Versailles,56,34,0
2021-03-01,Southside Flats (Pittsburgh),1259,775,0
2021-03-01,Spring Garden (Pittsburgh),121,86,0
2021-03-01,Springdale Township,325,224,0
2021-03-01,Stowe,772,557,0
2021-03-01,Swisshelm Park (Pittsburgh),299,227,0
2021-03-01,Tarentum,505,306,0
2021-03-01,Troy Hill (Pittsburgh),484,279,0
2021-03-01,Undefined (Pittsburgh),9,7,0
2021-03-01,Upper Hill (Pittsburgh),277,190,0
2021-03-01,Versailles,197,126,0
2021-03-01,Wall,60,34,0
2021-03-01,West Oakland (Pittsburgh),205,93,0
2021-03-01,West View,1234,759,0
2021-03-01,Westwood (Pittsburgh),569,395,0
2021-03-01,White Oak,1323,1042,0
2021-03-01,Windgap (Pittsburgh),216,214,0
2021-04-01,Allentown (Pittsburgh),236,311,0
2021-04-01,Arlington Heights (Pittsburgh),12,20,0
2021-04-01,Bloomfield (Pittsburgh),1618,2019,0
2021-04-01,Bridgeville,673,842,0
2021-04-01,Carnegie,1183,1418,0
2021-04-01,Coraopolis,717,930,0
2021-04-01,Crawford-Roberts (Pittsburgh),251,524,0
2021-04-01,East Pittsburgh,142,175,0
2021-04-01,Elizabeth Township,1363,1870,0
2021-04-01,Elliott (Pittsburgh),256,352,0
2021-04-01,Etna,470,557,0
2021-04-01,Fox Chapel,733,1063,0
