,INCIDENTNEIGHBORHOOD,OFFENSES
1501,Allegheny Center,3745 Accidents Involving Damage to Unattended Veh.or Prop.
233,Allegheny Center,9496 Dead on Arrival (DOA)
752,Allegheny Center,7615(a)(1) Computer Trespass - Remove Data
62,Allegheny Center,3701 Robbery. / 2702 Aggravated Assault. / 2701 Simple Assault.
1146,Allegheny Center,029 Missing Juvenile
922,Allegheny Center,"4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3334 Turning Movements and Required Signals."
2215,Allegheny Center,9489 Found Property
1467,Allegheny Center,3503 Criminal Trespass
115,Allegheny Center,9999 9999 - (Misc. Incident): 
1590,Allegheny Center,9998 Overdose Other
2913,Allegheny Center,"4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 4524 Windshield Obstructions and Wipers. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3334 Turning Movements and Required Signals."
729,Allegheny Center,2701 Simple Assault.
1807,Allegheny Center,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 1543 Driving While Operating Privilege is Suspended or Revoked.
248,Allegheny Center,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 4524 Windshield Obstructions and Wipers. / 3334 Turning Movements and Required Signals. / 1543 Driving While Operating Privilege is Suspended or Revoked.
416,Allegheny Center,5505 Public Drunkenness
1913,Allegheny Center,2709(a) Harassment.
401,Allegheny Center,9501 Bench Warrant
2529,Allegheny Center,3502 Burglary.
2760,Allegheny West,9500 Conversion - Field Contact Report
1306,Allegheny West,3743 Accidents Involving Damage to Attended Veh. or Property
2063,Allegheny West,3934 Theft from Vehicle
1126,Allegheny West,3921 Theft by Unlawful Taking or Disposition. / 4120 Identity Theft
52,Allegheny West,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2608,Allentown,9489 Found Property
2369,Allentown,3743 Accidents Involving Damage to Attended Veh. or Property
1679,Allentown,3502 Burglary.
305,Allentown,3304 Criminal Mischief.
2604,Allentown,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
573,Allentown,9489 Found Property
1728,Allentown,8106 Shots Fired
191,Allentown,3304 Criminal Mischief. / 9498 302 (Mental)
1149,Allentown,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
81,Allentown,9496 Dead on Arrival (DOA)
1760,Allentown,3922 Theft by Deception. / 901 Criminal Attempt
2717,Allentown,2701 Simple Assault.
2714,Allentown,4106 Access Device Fraud
2699,Allentown,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3503(a) Criminal Trespass
1111,Allentown,9489 Found Property
2691,Allentown,2702 Aggravated Assault.
544,Allentown,633.20 Dangerous Dogs / 633.05 Rabies Vaccination / 633.02(a) Dog License Required; 3 Months or Older
1557,Allentown,3925 Receiving Stolen Property. / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession
2675,Allentown,3745 Accidents Involving Damage to Unattended Veh.or Prop.
145,Allentown,2709(a)(3) Harassment No Legitimate Purpose / 13(a)(31) Marijuana: Possession Small Amount / 5505 Public Drunkenness / 5503 Disorderly Conduct. / 901 Criminal Attempt / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 2709.2 Stalking Conduct or Repeatedly Communicates
1606,Allentown,9498 302 (Mental)
157,Allentown,2702 Aggravated Assault. / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person.
998,Allentown,2702 Aggravated Assault.
1938,Allentown,4106 Access Device Fraud
1934,Allentown,2701 Simple Assault.
1875,Allentown,9090 Recovered Firearm
599,Allentown,4120 Identity Theft
1868,Allentown,2702 Aggravated Assault.
15,Allentown,2701 Simple Assault.
2050,Allentown,9999 9999 - (Misc. Incident): 
202,Allentown,9490 Missing Persons (18 and Over)
690,Allentown,3921 Theft by Unlawful Taking or Disposition.
1839,Allentown,9489 Found Property
2326,Allentown,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1774,Allentown,9496 Dead on Arrival (DOA)
709,Arlington,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident
670,Arlington,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
551,Arlington,9093 Indirect Criminal Contempt
1003,Arlington,9999 9999 - (Misc. Incident): 
1550,Arlington,2702 Aggravated Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3744 Duty to Give Information and Render Aid / 3732.1 Aggravated Assault by Vehicle / 3736 Reckless Driving
158,Arlington,3921(a) Theft by Unlawful Taking or Disposition - Movable item
357,Arlington,3714 Careless Driving
86,Arlington,4106 Access Device Fraud / 3922 Theft by Deception.
2555,Arlington,9994 PFA Service
2270,Arlington,9993 PFA Service with Weapons Supplement
798,Arlington,029 Missing Juvenile
71,Arlington,9999 9999 - (Misc. Incident): 
1699,Arlington,9993 PFA Service with Weapons Supplement
2268,Arlington,2709 Harassment (Non-Specific)
2767,Arlington,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3503(b.1)(1)(iii) Criminal Trespass/Simple Trespasser - Defacing or Damaging the Premises
569,Arlington,4120 Identity Theft / 4106 Access Device Fraud
1782,Arlington,9994 PFA Service
1677,Arlington,3921 Theft by Unlawful Taking or Disposition.
1050,Arlington,9998 Overdose Other
2098,Arlington,633.05 Rabies Vaccination / 633.02(a) Dog License Required; 3 Months or Older
958,Arlington Heights,"2501 Criminal Homicide. / 3701 Robbery. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
2154,Arlington Heights,8106 Shots Fired / 607.03 Discharging Firearm or Airgun
2527,Arlington Heights,13(a)(16) Possession of Controlled Substance
465,Arlington Heights,2501 Criminal Homicide.
1067,Arlington Heights,3502 Burglary.
1834,Arlington Heights,2706 Terroristic Threats. / 2715 Threat to Use Weapons of Mass Destruction
2589,Arlington Heights,2701 Simple Assault. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2705 Recklessly Endangering Another Person. / 9501 Bench Warrant / 4914(A) False Identification to Law Enforcement
2628,Arlington Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2621,Arlington Heights,9999 9999 - (Misc. Incident): PFA service gun relinquishment
731,Banksville,3743 Accidents Involving Damage to Attended Veh. or Property
1429,Banksville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2780,Banksville,9498 302 (Mental)
1954,Banksville,3743 Accidents Involving Damage to Attended Veh. or Property
1374,Banksville,3304 Criminal Mischief.
1532,Banksville,2701 Simple Assault. / 2718(a)(2) Strangulation - Blocking the Nose and Mouth of the Person
1129,Banksville,9999 9999 - (Misc. Incident): 
369,Banksville,9994 PFA Service
1392,Banksville,2706 Terroristic Threats.
1737,Banksville,9999 9999 - (Misc. Incident): verbal domestic
1451,Banksville,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
1231,Banksville,9994 PFA Service
116,Bedford Dwellings,3304 Criminal Mischief.
2594,Bedford Dwellings,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1188,Bedford Dwellings,9498 302 (Mental)
1471,Bedford Dwellings,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
707,Bedford Dwellings,2702 Aggravated Assault.
2339,Bedford Dwellings,3745 Accidents Involving Damage to Unattended Veh.or Prop.
228,Bedford Dwellings,3502 Burglary.
204,Bedford Dwellings,9497 Aided Case / 9498 302 (Mental)
1315,Bedford Dwellings,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner
2320,Bedford Dwellings,"2705 Recklessly Endangering Another Person. / 3503 Criminal Trespass / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
1,Bedford Dwellings,2706 Terroristic Threats. / 2709(a) Harassment.
809,Bedford Dwellings,3502 Burglary.
889,Bedford Dwellings,"9012 Non-Violent Domestic / 5532(a)(1) Neglect of Animals - Neglect of Animals, Sustenance/Water, Bodily Injury"
2067,Bedford Dwellings,3304 Criminal Mischief. / 9498 302 (Mental)
902,Bedford Dwellings,2709 Harassment (Non-Specific)
2862,Bedford Dwellings,9490 Missing Persons (18 and Over)
2132,Bedford Dwellings,2709(a) Harassment. / 3304 Criminal Mischief.
967,Bedford Dwellings,4106 Access Device Fraud
968,Bedford Dwellings,9490 Missing Persons (18 and Over)
2801,Bedford Dwellings,3502 Burglary.
1761,Bedford Dwellings,3921 Theft by Unlawful Taking or Disposition. / 029 Missing Juvenile
1749,Bedford Dwellings,9129 Miscellaneous Investigation
478,Bedford Dwellings,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud
1130,Bedford Dwellings,2709(a) Harassment.
1691,Bedford Dwellings,3921 Theft by Unlawful Taking or Disposition.
2249,Bedford Dwellings,9497 Aided Case
2246,Bedford Dwellings,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats."
2250,Bedford Dwellings,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud / 4120 Identity Theft
1285,Bedford Dwellings,2701 Simple Assault. / 3928 Unauthorized Use of Automobile and Other Vehicles.
1649,Bedford Dwellings,5505 Public Drunkenness / 9501 Bench Warrant
2733,Bedford Dwellings,9993 PFA Service with Weapons Supplement
2542,Bedford Dwellings,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1100,Bedford Dwellings,2709(a) Harassment.
82,Bedford Dwellings,2709(a) Harassment.
1049,Bedford Dwellings,9094 Recovered Stolen Vehicle (OUTSIDE CITY)
2489,Bedford Dwellings,2709(a) Harassment.
621,Bedford Dwellings,8106 Shots Fired
537,Bedford Dwellings,9999 9999 - (Misc. Incident): 
2444,Bedford Dwellings,9496 Dead on Arrival (DOA)
