,city,description,neighborhood
0,Pittsburgh,Stop,California-Kirkbride
1,Pittsburgh,Stop,Overbrook
2,Pittsburgh,Stop,Squirrel Hill North
3,Pittsburgh,Stop,Highland Park
4,Pittsburgh,Wayfinding Signage,North Shore
5,Pittsburgh,Wayfinding Signage,East Allegheny
6,Pittsburgh,Wayfinding Signage,Central Northside
7,Pittsburgh,Wayfinding Signage,East Allegheny
8,Pittsburgh,Wayfinding Signage,East Allegheny
9,Pittsburgh,Stop,Highland Park
10,Pittsburgh,Stop,Bluff
11,Pittsburgh,Stop,Point Breeze
12,Pittsburgh,Wayfinding Signage,Central Oakland
13,Pittsburgh,Wayfinding Signage,Central Oakland
14,Pittsburgh,Stop,Point Breeze
15,Pittsburgh,Wayfinding Signage,North Oakland
16,Pittsburgh,Wayfinding Signage,North Oakland
17,Pittsburgh,Wayfinding Signage,North Oakland
18,Pittsburgh,Wayfinding Signage,North Oakland
19,Pittsburgh,Wayfinding Signage,North Oakland
20,Pittsburgh,Wayfinding Signage,North Oakland
21,Pittsburgh,Wayfinding Signage,North Oakland
22,Pittsburgh,Wayfinding Signage,South Oakland
23,Pittsburgh,Wayfinding Signage,Central Oakland
24,Pittsburgh,Wayfinding Signage,Central Oakland
25,Pittsburgh,Stop,Bluff
26,Pittsburgh,Wayfinding Signage,Central Oakland
27,Pittsburgh,Wayfinding Signage,Central Oakland
28,Pittsburgh,Wayfinding Signage,Central Oakland
29,Pittsburgh,Wayfinding Signage,Central Oakland
30,Pittsburgh,Wayfinding Signage,Central Oakland
31,Pittsburgh,Wayfinding Signage,North Oakland
32,Pittsburgh,Wayfinding Signage,North Oakland
33,Pittsburgh,Wayfinding Signage,North Oakland
34,Pittsburgh,Wayfinding Signage,North Oakland
35,Pittsburgh,Wayfinding Signage,North Oakland
36,Pittsburgh,Stop,Bluff
37,Pittsburgh,Wayfinding Signage,Shadyside
38,Pittsburgh,Wayfinding Signage,North Oakland
39,Pittsburgh,Wayfinding Signage,North Oakland
40,Pittsburgh,Wayfinding Signage,North Oakland
41,Pittsburgh,Wayfinding Signage,North Oakland
42,Pittsburgh,Wayfinding Signage,North Oakland
43,Pittsburgh,Wayfinding Signage,North Oakland
44,Pittsburgh,Wayfinding Signage,West Oakland
45,Pittsburgh,Wayfinding Signage,West Oakland
46,Pittsburgh,Wayfinding Signage,West Oakland
47,Pittsburgh,Stop,Central Northside
48,Pittsburgh,Wayfinding Signage,West Oakland
49,Pittsburgh,Wayfinding Signage,West Oakland
50,Pittsburgh,Wayfinding Signage,West Oakland
51,Pittsburgh,Wayfinding Signage,North Oakland
52,Pittsburgh,Wayfinding Signage,North Oakland
53,Pittsburgh,Wayfinding Signage,North Oakland
54,Pittsburgh,Wayfinding Signage,West Oakland
55,Pittsburgh,Wayfinding Signage,West Oakland
56,Pittsburgh,Wayfinding Signage,West Oakland
57,Pittsburgh,Wayfinding Signage,West Oakland
58,Pittsburgh,Stop,Central Northside
59,Pittsburgh,Wayfinding Signage,West Oakland
60,Pittsburgh,Wayfinding Signage,North Oakland
61,Pittsburgh,Wayfinding Signage,North Oakland
62,Pittsburgh,Wayfinding Signage,West Oakland
63,Pittsburgh,Wayfinding Signage,North Oakland
64,Pittsburgh,Wayfinding Signage,West Oakland
65,Pittsburgh,Wayfinding Signage,North Oakland
66,Pittsburgh,Wayfinding Signage,West Oakland
67,Pittsburgh,Wayfinding Signage,North Oakland
68,Pittsburgh,Wayfinding Signage,North Oakland
69,Pittsburgh,Stop,Central Northside
70,Pittsburgh,Wayfinding Signage,North Oakland
71,Pittsburgh,Pedestrian,Central Business District
72,Pittsburgh,Do Not Enter,Central Business District
73,Pittsburgh,Stop,Point Breeze
74,Pittsburgh,Wayfinding Signage,North Oakland
75,Pittsburgh,Wayfinding Signage,Central Oakland
76,Pittsburgh,Wayfinding Signage,West Oakland
77,Pittsburgh,Wayfinding Signage,Terrace Village
78,Pittsburgh,Wayfinding Signage,South Oakland
79,Pittsburgh,Wayfinding Signage,West Oakland
80,Pittsburgh,Wayfinding Signage,South Oakland
81,Pittsburgh,Wayfinding Signage,West Oakland
82,Pittsburgh,Stop,Central Northside
83,Pittsburgh,Wayfinding Signage,West Oakland
84,Pittsburgh,Wayfinding Signage,West Oakland
85,Pittsburgh,Wayfinding Signage,Central Oakland
86,Pittsburgh,Wayfinding Signage,North Oakland
87,Pittsburgh,Wayfinding Signage,North Oakland
88,Pittsburgh,Wayfinding Signage,North Oakland
89,Pittsburgh,Wayfinding Signage,North Oakland
90,Pittsburgh,Wayfinding Signage,West Oakland
91,Pittsburgh,Wayfinding Signage,West Oakland
92,Pittsburgh,Wayfinding Signage,West Oakland
93,Pittsburgh,Stop,Mount Washington
94,Pittsburgh,Stop,Central Northside
95,Pittsburgh,Wayfinding Signage,North Oakland
96,Pittsburgh,Wayfinding Signage,North Oakland
97,Pittsburgh,Wayfinding Signage,Upper Hill
98,Pittsburgh,Wayfinding Signage,North Oakland
99,Pittsburgh,Wayfinding Signage,North Oakland
100,Pittsburgh,Wayfinding Signage,Upper Hill
101,Pittsburgh,Wayfinding Signage,Polish Hill
102,Pittsburgh,Wayfinding Signage,Polish Hill
103,Pittsburgh,Wayfinding Signage,North Oakland
104,Pittsburgh,Wayfinding Signage,Polish Hill
105,Pittsburgh,Stop,Central Northside
106,Pittsburgh,Wayfinding Signage,Polish Hill
107,Pittsburgh,Wayfinding Signage,Polish Hill
108,Pittsburgh,Wayfinding Signage,North Oakland
109,Pittsburgh,Wayfinding Signage,North Oakland
110,Pittsburgh,Wayfinding Signage,Polish Hill
111,Pittsburgh,Wayfinding Signage,Terrace Village
112,Pittsburgh,Wayfinding Signage,North Oakland
113,Pittsburgh,Wayfinding Signage,North Oakland
114,Pittsburgh,Wayfinding Signage,Middle Hill
115,Pittsburgh,Wayfinding Signage,Middle Hill
116,Pittsburgh,Stop,East Hills
117,Pittsburgh,Wayfinding Signage,Upper Hill
118,Pittsburgh,Wayfinding Signage,West Oakland
119,Pittsburgh,Wayfinding Signage,Terrace Village
120,Pittsburgh,Wayfinding Signage,North Oakland
121,Pittsburgh,Wayfinding Signage,North Oakland
122,Pittsburgh,Wayfinding Signage,West Oakland
123,Pittsburgh,Wayfinding Signage,Central Oakland
124,Pittsburgh,Wayfinding Signage,Central Oakland
125,Pittsburgh,Wayfinding Signage,South Oakland
126,Pittsburgh,Wayfinding Signage,North Oakland
127,Pittsburgh,Stop,East Hills
128,Pittsburgh,Wayfinding Signage,Central Oakland
129,Pittsburgh,Wayfinding Signage,Squirrel Hill South
130,Pittsburgh,Wayfinding Signage,Squirrel Hill South
131,Pittsburgh,Wayfinding Signage,Squirrel Hill South
132,Pittsburgh,Wayfinding Signage,Squirrel Hill North
133,Pittsburgh,Wayfinding Signage,Central Oakland
134,Pittsburgh,Wayfinding Signage,Squirrel Hill South
135,Pittsburgh,Wayfinding Signage,Squirrel Hill North
136,Pittsburgh,Wayfinding Signage,Squirrel Hill North
137,Pittsburgh,Wayfinding Signage,Squirrel Hill North
138,Pittsburgh,Stop,East Hills
139,Pittsburgh,Wayfinding Signage,Squirrel Hill North
140,Pittsburgh,Wayfinding Signage,Squirrel Hill North
141,Pittsburgh,Wayfinding Signage,Squirrel Hill North
142,Pittsburgh,Wayfinding Signage,Squirrel Hill North
143,Pittsburgh,Wayfinding Signage,Squirrel Hill South
144,Pittsburgh,Wayfinding Signage,Squirrel Hill South
145,Pittsburgh,Wayfinding Signage,Squirrel Hill North
146,Pittsburgh,Wayfinding Signage,Squirrel Hill North
147,Pittsburgh,Wayfinding Signage,Shadyside
148,Pittsburgh,Wayfinding Signage,Squirrel Hill North
149,Pittsburgh,Stop,Terrace Village
150,Pittsburgh,Wayfinding Signage,Squirrel Hill South
151,Pittsburgh,Wayfinding Signage,Squirrel Hill North
152,Pittsburgh,Wayfinding Signage,Squirrel Hill South
153,Pittsburgh,Wayfinding Signage,Squirrel Hill North
154,Pittsburgh,Wayfinding Signage,Squirrel Hill South
155,Pittsburgh,Wayfinding Signage,Squirrel Hill North
156,Pittsburgh,Wayfinding Signage,Squirrel Hill North
157,Pittsburgh,Wayfinding Signage,Squirrel Hill North
158,Pittsburgh,Stop,East Liberty
159,Pittsburgh,Stop,Point Breeze
160,Pittsburgh,Stop,Mount Washington
161,Pittsburgh,Stop,Terrace Village
162,Pittsburgh,Wayfinding Signage,Squirrel Hill North
163,Pittsburgh,Wayfinding Signage,Squirrel Hill North
164,Pittsburgh,Wayfinding Signage,Shadyside
165,Pittsburgh,Wayfinding Signage,Squirrel Hill North
166,Pittsburgh,Wayfinding Signage,Squirrel Hill North
167,Pittsburgh,Wayfinding Signage,North Oakland
168,Pittsburgh,Wayfinding Signage,North Oakland
169,Pittsburgh,Wayfinding Signage,Squirrel Hill South
170,Pittsburgh,Stop,Middle Hill
171,Pittsburgh,Wayfinding Signage,Squirrel Hill South
172,Pittsburgh,Wayfinding Signage,Squirrel Hill South
173,Pittsburgh,Wayfinding Signage,Squirrel Hill North
174,Pittsburgh,Wayfinding Signage,Squirrel Hill North
175,Pittsburgh,Wayfinding Signage,Squirrel Hill South
176,Pittsburgh,Wayfinding Signage,Squirrel Hill South
177,Pittsburgh,Wayfinding Signage,Squirrel Hill South
178,Pittsburgh,Wayfinding Signage,Squirrel Hill South
179,Pittsburgh,Wayfinding Signage,Squirrel Hill South
180,Pittsburgh,Wayfinding Signage,Squirrel Hill South
181,Pittsburgh,Stop,Terrace Village
182,Pittsburgh,Wayfinding Signage,Squirrel Hill South
183,Pittsburgh,Wayfinding Signage,Squirrel Hill South
184,Pittsburgh,Wayfinding Signage,Squirrel Hill South
185,Pittsburgh,Wayfinding Signage,Squirrel Hill North
186,Pittsburgh,Stop,Brighton Heights
187,Pittsburgh,Stop,Knoxville
188,Pittsburgh,Stop,Lincoln-Lemington-Belmar
189,Pittsburgh,Stop,Squirrel Hill North
190,Pittsburgh,Stop,Shadyside
191,Pittsburgh,Stop,Homewood South
192,Pittsburgh,Stop,Point Breeze
193,Pittsburgh,Wayfinding Signage,Squirrel Hill South
194,Pittsburgh,Wayfinding Signage,Squirrel Hill North
195,Pittsburgh,Wayfinding Signage,Squirrel Hill North
196,Pittsburgh,Wayfinding Signage,Squirrel Hill North
197,Pittsburgh,Wayfinding Signage,Squirrel Hill North
198,Pittsburgh,Wayfinding Signage,Point Breeze
199,Pittsburgh,Wayfinding Signage,Squirrel Hill North
200,Pittsburgh,Wayfinding Signage,Squirrel Hill North
201,Pittsburgh,Wayfinding Signage,Squirrel Hill South
202,Pittsburgh,Wayfinding Signage,Squirrel Hill South
203,Pittsburgh,Wayfinding Signage,Squirrel Hill South
204,Pittsburgh,Wayfinding Signage,Squirrel Hill South
205,Pittsburgh,Wayfinding Signage,Squirrel Hill South
206,Pittsburgh,Wayfinding Signage,Squirrel Hill South
207,Pittsburgh,Wayfinding Signage,Squirrel Hill South
208,Pittsburgh,Wayfinding Signage,Squirrel Hill South
209,Pittsburgh,Wayfinding Signage,Squirrel Hill South
210,Pittsburgh,Wayfinding Signage,Squirrel Hill South
211,Pittsburgh,Stop,Greenfield
212,Pittsburgh,Wayfinding Signage,Squirrel Hill South
213,Pittsburgh,Wayfinding Signage,Squirrel Hill South
214,Pittsburgh,Wayfinding Signage,Squirrel Hill South
215,Pittsburgh,Wayfinding Signage,Squirrel Hill South
216,Pittsburgh,Wayfinding Signage,Squirrel Hill South
217,Pittsburgh,Wayfinding Signage,Shadyside
218,Pittsburgh,Wayfinding Signage,Shadyside
219,Pittsburgh,Wayfinding Signage,Point Breeze
220,Pittsburgh,Wayfinding Signage,Squirrel Hill North
221,Pittsburgh,Wayfinding Signage,Squirrel Hill North
222,Pittsburgh,Stop,Squirrel Hill South
223,Pittsburgh,Wayfinding Signage,Shadyside
224,Pittsburgh,Wayfinding Signage,Shadyside
225,Pittsburgh,Wayfinding Signage,Shadyside
226,Pittsburgh,Wayfinding Signage,Shadyside
227,Pittsburgh,Wayfinding Signage,Shadyside
228,Pittsburgh,Wayfinding Signage,Shadyside
229,Pittsburgh,Wayfinding Signage,Squirrel Hill North
230,Pittsburgh,Wayfinding Signage,Bloomfield
231,Pittsburgh,Wayfinding Signage,Bloomfield
232,Pittsburgh,Stop,Point Breeze
233,Pittsburgh,Wayfinding Signage,Point Breeze
234,Pittsburgh,Wayfinding Signage,Point Breeze
235,Pittsburgh,Wayfinding Signage,Shadyside
236,Pittsburgh,Wayfinding Signage,Squirrel Hill North
237,Pittsburgh,Wayfinding Signage,Shadyside
238,Pittsburgh,Wayfinding Signage,Squirrel Hill North
239,Pittsburgh,Wayfinding Signage,Shadyside
240,Pittsburgh,Wayfinding Signage,Shadyside
241,Pittsburgh,Wayfinding Signage,Shadyside
242,Pittsburgh,Stop,Homewood North
243,Pittsburgh,Wayfinding Signage,Shadyside
244,Pittsburgh,Wayfinding Signage,Shadyside
245,Pittsburgh,Wayfinding Signage,Squirrel Hill North
246,Pittsburgh,Wayfinding Signage,Squirrel Hill North
247,Pittsburgh,Wayfinding Signage,Squirrel Hill North
248,Pittsburgh,Wayfinding Signage,Squirrel Hill North
249,Pittsburgh,Wayfinding Signage,Squirrel Hill South
250,Pittsburgh,Wayfinding Signage,Squirrel Hill South
251,Pittsburgh,Wayfinding Signage,Squirrel Hill South
252,Pittsburgh,Wayfinding Signage,Squirrel Hill South
253,Pittsburgh,Stop,Homewood North
254,Pittsburgh,Wayfinding Signage,Point Breeze
255,Pittsburgh,Wayfinding Signage,Shadyside
256,Pittsburgh,Wayfinding Signage,Squirrel Hill North
257,Pittsburgh,Wayfinding Signage,Squirrel Hill North
258,Pittsburgh,Wayfinding Signage,Squirrel Hill North
259,Pittsburgh,Wayfinding Signage,Shadyside
260,Pittsburgh,Wayfinding Signage,Squirrel Hill South
261,Pittsburgh,Wayfinding Signage,Squirrel Hill North
262,Pittsburgh,Wayfinding Signage,Shadyside
263,Pittsburgh,Wayfinding Signage,Shadyside
264,Pittsburgh,Stop,Homewood North
265,Pittsburgh,Wayfinding Signage,Squirrel Hill South
266,Pittsburgh,Wayfinding Signage,Shadyside
267,Pittsburgh,Wayfinding Signage,North Oakland
268,Pittsburgh,Wayfinding Signage,Upper Hill
269,Pittsburgh,Wayfinding Signage,Squirrel Hill South
270,Pittsburgh,Stop,Carrick
271,Pittsburgh,Stop,Carrick
272,Pittsburgh,Wayfinding Signage,Squirrel Hill South
273,Pittsburgh,Wayfinding Signage,Shadyside
274,Pittsburgh,Wayfinding Signage,Shadyside
275,Pittsburgh,Stop,Point Breeze
276,Pittsburgh,Wayfinding Signage,West Oakland
277,Pittsburgh,Wayfinding Signage,West Oakland
278,Pittsburgh,Wayfinding Signage,Bloomfield
279,Pittsburgh,Wayfinding Signage,Point Breeze
280,Pittsburgh,Wayfinding Signage,Squirrel Hill South
281,Pittsburgh,Wayfinding Signage,Central Business District
282,Pittsburgh,Wayfinding Signage,Central Business District
283,Pittsburgh,Wayfinding Signage,Central Business District
284,Pittsburgh,Wayfinding Signage,Central Business District
285,Pittsburgh,Wayfinding Signage,Central Business District
286,Pittsburgh,Stop,Point Breeze
287,Pittsburgh,Wayfinding Signage,Central Business District
288,Pittsburgh,Wayfinding Signage,Strip District
289,Pittsburgh,Wayfinding Signage,Strip District
290,Pittsburgh,Wayfinding Signage,Central Business District
291,Pittsburgh,Wayfinding Signage,Central Business District
292,Pittsburgh,Wayfinding Signage,Central Business District
293,Pittsburgh,Wayfinding Signage,Central Business District
294,Pittsburgh,Wayfinding Signage,Central Business District
295,Pittsburgh,Stop,Homewood South
296,Pittsburgh,Stop,Homewood South
297,Pittsburgh,Wayfinding Signage,Central Business District
298,Pittsburgh,Wayfinding Signage,Central Business District
299,Pittsburgh,Wayfinding Signage,Central Business District
300,Pittsburgh,Wayfinding Signage,Central Business District
301,Pittsburgh,Wayfinding Signage,Central Business District
302,Pittsburgh,Wayfinding Signage,Central Business District
303,Pittsburgh,Wayfinding Signage,Central Business District
304,Pittsburgh,Wayfinding Signage,Central Business District
305,Pittsburgh,Wayfinding Signage,Central Business District
306,Pittsburgh,Wayfinding Signage,Central Business District
307,Pittsburgh,Stop,Homewood South
308,Pittsburgh,Wayfinding Signage,Central Business District
309,Pittsburgh,Wayfinding Signage,Central Business District
310,Pittsburgh,Wayfinding Signage,Central Business District
311,Pittsburgh,Wayfinding Signage,Central Business District
312,Pittsburgh,Wayfinding Signage,Central Business District
313,Pittsburgh,Wayfinding Signage,Central Business District
314,Pittsburgh,Wayfinding Signage,Central Business District
315,Pittsburgh,Wayfinding Signage,Central Business District
316,Pittsburgh,Wayfinding Signage,Central Business District
317,Pittsburgh,Wayfinding Signage,Central Business District
318,Pittsburgh,Stop,Homewood South
319,Pittsburgh,Wayfinding Signage,Central Business District
320,Pittsburgh,Wayfinding Signage,Central Business District
321,Pittsburgh,Wayfinding Signage,Central Business District
322,Pittsburgh,Wayfinding Signage,Central Business District
323,Pittsburgh,Wayfinding Signage,Central Business District
324,Pittsburgh,Wayfinding Signage,Central Business District
325,Pittsburgh,Wayfinding Signage,Central Business District
326,Pittsburgh,Pedestrian,Bluff
327,Pittsburgh,Stop,Regent Square
328,Pittsburgh,Wayfinding Signage,Central Business District
329,Pittsburgh,Wayfinding Signage,Central Business District
330,Pittsburgh,Wayfinding Signage,Central Business District
331,Pittsburgh,Wayfinding Signage,Central Business District
332,Pittsburgh,Wayfinding Signage,Central Business District
333,Pittsburgh,Wayfinding Signage,Central Business District
334,Pittsburgh,Wayfinding Signage,Central Business District
335,Pittsburgh,Wayfinding Signage,Central Business District
336,Pittsburgh,Wayfinding Signage,Central Business District
337,Pittsburgh,Wayfinding Signage,Central Business District
338,Pittsburgh,Stop,Regent Square
339,Pittsburgh,Wayfinding Signage,Central Business District
340,Pittsburgh,Wayfinding Signage,Central Business District
341,Pittsburgh,Wayfinding Signage,Bluff
342,Pittsburgh,Wayfinding Signage,Central Business District
343,Pittsburgh,Wayfinding Signage,Central Business District
