,neighborhood,total_students_enrolled
107,Carrick,541.0
105,Brookline,526.0
286,Carrick,378.0
99,Beechview,339.0
284,Brookline,310.0
104,Brighton Heights,296.0
197,Carrick,293.0
168,Squirrel Hill South,286.0
131,Homewood North,282.0
195,Brookline,276.0
117,East Hills,275.0
160,Sheraden,275.0
134,Knoxville,257.0
148,Northview Heights,254.0
346,Squirrel Hill South,249.0
118,East Liberty,247.0
112,Crafton Heights,230.0
129,Hazelwood,221.0
132,Homewood South,218.0
140,Marshall-Shadeland,218.0
278,Beechview,215.0
124,Garfield,211.0
145,Mt. Oliver Borough,209.0
137,Lincoln-Lemington-Belmar,208.0
127,Greenfield,206.0
339,Sheraden,205.0
173,Terrace Village,200.0
189,Beechview,196.0
144,Mount Washington,195.0
308,Hazelwood,194.0
358,Wilkinsburg Borough,194.0
152,Perry South,189.0
151,Perry North,182.0
130,Highland Park,177.0
313,Knoxville,175.0
224,Knoxville,169.0
332,Point Breeze,162.0
345,Squirrel Hill North,158.0
306,Greenfield,157.0
250,Sheraden,156.0
291,Crafton Heights,154.0
219,Hazelwood,152.0
283,Brighton Heights,151.0
303,Garfield,148.0
324,Mt. Oliver Borough,144.0
316,Lincoln-Lemington-Belmar,144.0
310,Homewood North,140.0
169,Stanton Heights,139.0
327,Northview Heights,136.0
309,Highland Park,133.0
94,Allentown,133.0
135,Larimer,133.0
221,Homewood North,131.0
207,East Hills,130.0
227,Lincoln-Lemington-Belmar,128.0
214,Garfield,128.0
179,Westwood,126.0
101,Bloomfield,125.0
141,Middle Hill,123.0
311,Homewood South,122.0
296,East Hills,120.0
150,Overbrook,120.0
238,Northview Heights,119.0
319,Marshall-Shadeland,119.0
202,Crafton Heights,119.0
331,Perry South,119.0
194,Brighton Heights,119.0
166,Spring Hill-City View,116.0
159,Shadyside,116.0
257,Squirrel Hill South,115.0
235,Mt. Oliver Borough,113.0
297,East Liberty,113.0
98,Bedford Dwellings,112.0
234,Mount Washington,110.0
167,Squirrel Hill North,109.0
136,Lincoln Place,108.0
242,Perry South,108.0
217,Greenfield,108.0
100,Beltzhoover,106.0
323,Mount Washington,105.0
208,East Liberty,104.0
230,Marshall-Shadeland,99.0
153,Point Breeze,99.0
351,Terrace Village,98.0
119,Elliott,98.0
269,Wilkinsburg Borough,98.0
113,Crawford-Roberts,98.0
347,Stanton Heights,93.0
330,Perry North,91.0
222,Homewood South,91.0
97,Banksville,88.0
184,Allentown,84.0
241,Perry North,83.0
164,South Side Slopes,83.0
142,Morningside,82.0
315,Lincoln Place,78.0
258,Stanton Heights,75.0
95,Arlington,74.0
329,Overbrook,74.0
109,Central Northside,73.0
220,Highland Park,72.0
240,Overbrook,70.0
175,Upper Hill,70.0
279,Beltzhoover,70.0
190,Beltzhoover,69.0
273,Allentown,67.0
262,Terrace Village,67.0
139,Manchester,66.0
280,Bloomfield,65.0
15,Carrick,64.0
357,Westwood,62.0
292,Crawford-Roberts,62.0
256,Squirrel Hill North,61.0
209,Elliott,60.0
274,Arlington,60.0
344,Spring Hill-City View,60.0
298,Elliott,59.0
133,Homewood West,58.0
70,Sheraden,58.0
314,Larimer,57.0
13,Brookline,57.0
174,Troy Hill,56.0
268,Westwood,55.0
106,California-Kirkbride,55.0
108,Central Lawrenceville,54.0
225,Larimer,54.0
163,South Side Flats,53.0
122,Fineview,53.0
333,Point Breeze North,52.0
154,Point Breeze North,52.0
253,South Side Slopes,52.0
226,Lincoln Place,51.0
203,Crawford-Roberts,51.0
176,Upper Lawrenceville,51.0
191,Bloomfield,50.0
185,Arlington,49.0
277,Bedford Dwellings,48.0
188,Bedford Dwellings,48.0
255,Spring Hill-City View,47.0
138,Lower Lawrenceville,47.0
121,Fairywood,46.0
41,Homewood South,46.0
287,Central Lawrenceville,46.0
338,Shadyside,45.0
243,Point Breeze,45.0
320,Middle Hill,44.0
318,Manchester,44.0
7,Beechview,44.0
352,Troy Hill,44.0
149,Oakwood,44.0
26,East Hills,44.0
276,Banksville,43.0
321,Morningside,43.0
342,South Side Slopes,42.0
61,Perry North,41.0
231,Middle Hill,41.0
263,Troy Hill,41.0
114,Duquesne Heights,41.0
353,Upper Hill,40.0
181,Windgap,40.0
340,South Oakland,40.0
232,Morningside,40.0
341,South Side Flats,40.0
229,Manchester,39.0
92,Allegheny Center,39.0
187,Banksville,39.0
249,Shadyside,39.0
325,New Homestead,38.0
40,Homewood North,36.0
21,Crafton Heights,36.0
350,Swisshelm Park,36.0
83,Terrace Village,36.0
165,Spring Garden,34.0
288,Central Northside,34.0
198,Central Lawrenceville,34.0
264,Upper Hill,34.0
115,East Allegheny,34.0
285,California-Kirkbride,33.0
33,Garfield,33.0
27,East Liberty,32.0
12,Brighton Heights,32.0
359,Windgap,31.0
49,Marshall-Shadeland,31.0
39,Highland Park,30.0
196,California-Kirkbride,29.0
102,Bluff,29.0
78,Squirrel Hill South,29.0
46,Lincoln-Lemington-Belmar,28.0
125,Glen Hazel,28.0
270,Windgap,27.0
199,Central Northside,27.0
312,Homewood West,27.0
62,Perry South,27.0
335,Regent Square,27.0
178,West Oakland,26.0
89,Westwood,26.0
265,Upper Lawrenceville,26.0
79,Stanton Heights,25.0
244,Point Breeze North,25.0
233,Mount Oliver,24.0
143,Mount Oliver,24.0
354,Upper Lawrenceville,24.0
155,Polish Hill,23.0
161,South Oakland,23.0
182,Allegheny Center,23.0
300,Fairywood,22.0
293,Duquesne Heights,22.0
304,Glen Hazel,22.0
96,Arlington Heights,21.0
322,Mount Oliver,21.0
223,Homewood West,21.0
9,Bloomfield,21.0
50,Middle Hill,20.0
302,Friendship,20.0
123,Friendship,20.0
146,New Homestead,20.0
294,East Allegheny,20.0
317,Lower Lawrenceville,18.0
282,Bon Air,18.0
301,Fineview,18.0
58,Northview Heights,18.0
215,Glen Hazel,18.0
211,Fairywood,18.0
193,Bon Air,18.0
271,Allegheny Center,18.0
103,Bon Air,17.0
22,Crawford-Roberts,17.0
328,Oakwood,17.0
177,West End,17.0
69,Shadyside,17.0
76,Spring Hill-City View,16.0
228,Lower Lawrenceville,16.0
252,South Side Flats,16.0
17,Central Northside,16.0
343,Spring Garden,16.0
36,Greenfield,16.0
171,Summer Hill,16.0
218,Hays,15.0
205,East Allegheny,15.0
111,Chartiers City,15.0
43,Knoxville,15.0
51,Morningside,14.0
31,Fineview,14.0
356,West Oakland,14.0
128,Hays,14.0
204,Duquesne Heights,14.0
48,Manchester,13.0
251,South Oakland,13.0
349,Summer Hill,13.0
158,Saint Clair,13.0
54,Mt. Oliver Borough,13.0
42,Homewood West,12.0
28,Elliott,12.0
44,Larimer,12.0
254,Spring Garden,12.0
91,Windgap,12.0
116,East Carnegie,12.0
260,Summer Hill,12.0
212,Fineview,12.0
6,Bedford Dwellings,12.0
334,Polish Hill,11.0
63,Point Breeze,11.0
86,Upper Lawrenceville,11.0
307,Hays,11.0
180,Wilkinsburg Borough,11.0
192,Bluff,11.0
213,Friendship,11.0
267,West Oakland,11.0
